,PUSH,STEP_BACK,TURN_L_45,TURN_L_90,TURN_R_45,TURN_R_90,TURN_180
"[0, 0]",-7.87999437653,-7.54693754012,-7.85707860229,-7.52663869181,-8.0193178504,-7.99562531045,-7.61155377808
"[1, 0]",-7.87724596536,-7.91976331092,-7.80921652941,-7.16929746404,-7.8922429339,-7.83659936711,-7.78052731251
"[3, 1]",-4.29397732182,-7.47482615299,-7.50613281609,-7.76367213096,-7.58914050626,-7.74078385959,-7.80256537562
"[0, 3]",-7.79843122621,-7.57290783852,-7.86744977571,-7.76888959663,-6.02165949622,-7.7846562973,-7.90775300675
"[1, 1]",-7.76228490246,-7.75042305257,-6.22981051438,-7.7822854946,-7.73468294262,-7.90275772562,-7.79570338125
terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[3, 3]",-7.57937293239,-7.49632525412,-7.46620904158,-7.72337783131,-6.40222474879,-7.6358767229,-7.51588800761
"[4, 2]",-4.02827581916,0.969158686422,-3.19726364738,-3.41671653878,-3.3067661498,-3.28933347602,-4.01220808928
"[2, 0]",-5.33416900237,-4.60023703338,-3.41762066038,-5.27111193843,-6.25075974651,-5.49206652179,-5.06966140286
"[4, 1]",-0.974239223262,-0.634599613144,-1.07429371037,-4.61655511573,-0.643409743934,-0.699587513559,-0.700390962403
"[4, 0]",-2.12441706957,-1.29742903326,-1.30425161103,-2.04775387586,-2.10246903247,-2.03039250871,-2.99306206282
"[3, 2]",-1.15124094025,-0.530805626649,-0.586463771831,-2.06994840197,-0.578784867412,-0.735347437599,-1.15975108163
"[0, 4]",-5.31925971053,-2.50199688949,-3.42499264497,-5.16630048977,-1.34598896403,-4.81434706335,-4.87007561914
"[0, 2]",-0.347421088015,-0.408426533816,-1.80484951192,-0.729226356718,-1.75514986366,-3.49266921816,-1.70067748091
