,PUSH,STEP_BACK,TURN_L_45,TURN_L_90,TURN_R_45,TURN_R_90,TURN_180
"[0, 0]",-7.45016995114,-7.3805081471,-7.2533418523,-7.649283431,-7.16135801981,-7.15103859367,-7.23963463309
"[3, 3]",-7.09469958197,-7.40343498719,-7.34540605718,-7.51427384377,-6.08311667046,-7.6126514968,-7.47588524616
"[3, 1]",-3.77069823099,-6.26743139051,-6.08844860275,-7.44268997198,-6.09194701111,-6.80664064548,-7.06713456623
"[1, 0]",-7.60092503864,-7.08261350055,-5.27704836909,-6.7936461234,-7.54299592401,-7.11168838641,-7.10306369044
"[0, 3]",-7.41975931474,-7.139321879,-7.48306835271,-6.97734127838,-5.8911836273,-7.35045304969,-7.92643235863
"[1, 1]",-6.54223212748,-7.35204375392,-5.73500591007,-7.23454885121,-7.02242614675,-7.37469147712,-7.3949210081
terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 4]",-5.79324671099,-5.70558858793,-6.02351912274,-5.92896408991,-2.95144325133,-5.9260747314,-6.4067057395
"[4, 0]",-1.59052031815,-1.41805991161,-2.27046191736,-1.899828272,-1.47248622464,-2.07993615323,-2.07121735129
"[2, 0]",-3.57010709244,-4.48208403276,-2.18278083722,-2.72637095972,-2.75393014946,-5.44609161437,-3.95503811774
"[0, 2]",-1.29114753333,-1.07752141721,-1.9,-1.12715332915,-1.11965273174,-1.73284861968,-3.6767795268
"[4, 2]",-1.12827392942,0.869063704079,-4.91578030782,-5.07501912011,-2.44159760652,-3.0794738076,-3.67014754831
"[4, 1]",-1.2805414596,-0.874354487312,-1.79045400661,-2.88025180515,-1.46860750117,-2.0709035103,-2.06884256445
"[3, 2]",-1.22976951287,-1.46325910209,-2.33872016403,-2.24056392432,-3.11618594106,-1.28335521553,-1.49472723673
