,PUSH,STEP_BACK,TURN_L_45,TURN_L_90,TURN_R_45,TURN_R_90,TURN_180
"[0, 0]",-7.49093406754,-7.12960754759,-7.88036278489,-6.67140820762,-7.72546223452,-7.64058211054,-7.82978208392
"[3, 3]",-7.2564509048,-7.28923003589,-7.34534957975,-7.29408336052,-6.31448269277,-7.28633654232,-7.27771332678
"[0, 3]",-7.60773956978,-7.59026253784,-7.48456354868,-7.21128462772,-4.59331485,-7.59036642895,-7.60766675432
"[1, 1]",-6.67136519319,-7.32563488019,-7.30581473964,-7.27012827355,-7.50161460622,-7.31704340363,-7.35026990605
"[1, 0]",-7.31070632155,-7.4187930172,-6.00190346584,-7.30606999706,-7.53565154723,-7.69457931347,-7.55069083178
"[3, 1]",-3.68084095907,-7.58638451944,-7.15989003133,-7.59985652662,-7.51557473646,-7.5930593608,-7.60190087704
terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[2, 0]",-3.72639659713,-3.33361579219,-1.24866621332,-3.33924798675,-3.86100895979,-4.16561634825,-3.93237838341
"[4, 1]",-1.95123404176,-2.95595939508,-2.30212612999,-2.96463307822,-4.43649252827,-3.63283920116,-2.1052641282
"[4, 2]",-1.57610292981,0.939302385413,-1.04235146985,-3.30152610126,-1.64874623934,-4.52054534931,-4.24516204422
"[0, 2]",-4.36168977268,-0.531596971846,-0.942599099783,-1.97816848578,-0.548092470974,-2.57618836473,-1.3566126683
"[0, 4]",-3.07872072415,-0.667853496675,-3.01663664307,-2.96917774579,-0.236806634395,-1.41645316135,-2.74622009771
"[4, 0]",-1.45882196903,-0.741638817184,-0.702996908065,-3.12128839924,-1.54850633086,-4.05136371801,-2.02574346839
"[3, 2]",0.0111551737012,-0.196542884352,-1.4734100433,-1.38695431831,-1.90968738203,-2.07688287602,-1.92315686536
